Genre, Artis, Judul, Tahun, Harga
Pop, Tiara Andini, Gemintang Hatiku, 2021, 6000
Pop, Tiara Andini, Tega, 2023, 6000
Pop, Tiara Andini, Janji Setia, 2022, 7000 
Pop, Tiara Andini, Merasa Indah, 2022, 7000
Pop, Tiara Andini, Maafkan Aku, 2021, 6000
Pop, Tiara Andini, Usai, 2023, 9000
Pop, Tiara Andini, Menjadi Dia, 2022, 7000
Pop, Lyodra Ginting, Ego, 2023, 7000
Pop, Lyodra Ginting, Gemintang Hatiku, 2020, 6000
Pop, Lyodra Ginting, Pesan Terakhir, 2022, 8000
Pop, Lyodra Ginting, Mengapa Kita, 2021, 7000
Pop, Lyodra Ginting, Tentang Kamu, 2021, 6000
Pop, Lyodra Ginting, Kalau Bosan, 2022, 5000
Pop, Lyodra Ginting, Sabda Rindu, 2021, 5000
Pop, Mahalini, Sial, 2023, 9000
Pop, Mahalini, Sisa Rasa, 2022, 8000
Pop, Mahalini, Kisah Sempurna, 2022, 8000
Pop, Mahalini, Melawan Restu, 2021, 8000
Pop, Mahalini, Bohongi Hati, 2023, 7000
Pop, JAZ, Kasmaran, 2017, 6000
Pop, JAZ, Teman Bahagia, 2018, 6000 
Pop, JAZ, Darimata, 2016, 6000
Pop, VIERRA, Rasa Ini, 2010, 7000
Pop, VIERRA, Seandainya, 2011, 9000
Pop, VIERRA, Kesepian, 2012, 6000
Pop, VIERRA, Jadi Yang Kuinginkan, 2010, 8000
Pop, VIERRA, Terlalu Lama, 2011, 6000
Pop, VIERRA, Perih, 2010, 6000
Pop, VIERRA, Bersamamu, 2010, 9000
Pop, Sheila On 7, Hari Bersamanya, 2011, 7000
Pop, Sheila On 7, Dan, 2013, 8000
Pop, Sheila On 7, Seberapa Pantas, 2013, 8000
Pop, Sheila On 7, Film Favorit, 2018, 9000
Pop, Sheila On 7, Melompat Lebih Tinggi, 2013, 9000
Pop, Sheila On 7, Pemuja Rahasia, 2013, 6000
Pop, Sheila On 7, Sebuah Kisah Klasik, 2013, 9000
Pop, Tulus, Pamit, 2016, 7000
Pop, Tulus, Gajah, 2015, 9000
Pop, Tulus, Manusia Kuat, 2017, 7000
Pop, Tulus, Sepatu, 2014, 8000
Pop, Tulus, Nala, 2023, 8000
Pop, Tulus, Sewindu, 2012, 8000
Pop, Tulus, Hati Hati Di Jalan, 2022, 9000
Pop, Andmesh Kamaleng, Kumau Dia, 2020, 7000
Pop, Andmesh Kamaleng, Cinta Luar Biasa, 2019, 9000
Pop, Andmesh Kamaleng, Senyumlah, 2021, 8000
Pop, Raim Laode, Komang, 2023, 9000
Pop, Aruma, Muak, 2023, 9000
Pop, Anggi Marito, Tak Segampang Itu, 2023, 9000
Pop, Idgitaf, Takut, 2022, 9000
