genre,name,price,year,link
Rock,System of a Down-Chop Suey!,6000,2001,https://youtu.be/CSvFpBOe8eY
Rock,The Strokes-Last Nite,6000,2001,https://youtu.be/TOypSnKFHrE
Rock,Godsmack-I Stand Alone,6000,2002,https://youtu.be/OYjZK_6i37M
Rock,Queens of the Stone Age-No One Knows,6000,2002,https://youtu.be/s88r_q7oufE
Rock,Audioslave-Like a Stone,6000,2002,https://youtu.be/7QU1nvuxaMA
Rock,The White Stripes-Seven Nation Army,6000,2003,https://youtu.be/0J2QdDbelmY
Rock,The White Stripes-Seven Nation Army,6000,2003,https://youtu.be/0J2QdDbelmY
Rock,The Killer-Mr. Brightside,6000,2003,https://youtu.be/gGdGFtwCNBE
Rock,Three Days Grace-I Hate Everthing About You,6000,2003,https://youtu.be/d8ekz_CSBVg
Rock,Linkin Park-In the End,6000,2004,https://youtu.be/Soa3gO7tL-c
Rock,Green Day-Boulevard of Broken Dreams,6000,2004,https://youtu.be/Soa3gO7tL-c
Rock,Green Day-American Idiot,6000,2004,https://youtu.be/Ee_uujKuJMI
Rock,Papa Roach-Getting Away with Murder,6000,2004,https://youtu.be/-rdmG0k8S8k
Rock,Avenged Sevenfold-Bet Country,6000,2005,https://youtu.be/OR0f3qtadjg
Rock,Bullet for My Valentine-Tears Don\'t Fall,6000,2005,https://youtu.be/9sTQ0QdkN3Q
Rock,Fall Out Boy-Sugar We are Goin Down,6000,2005,https://youtu.be/uhG-vLZrb-g
Rock,Panic! at the Disco-I Write Sins Not Tragedies,6000,2006,https://youtu.be/vc6vs-l5dkc
Rock,Three Days Grace-Animal I Have Become,6000,2006,https://youtu.be/xqds0B_meys
Rock,Stone Sour-Through Glass,6000,2006,https://youtu.be/GIzDsGyxsQM
Rock,Breaking Benjamin-Breath,6000,2006,https://youtu.be/qQ3qJmgktS0
Rock,Muse-Starlight,6000,2006,https://youtu.be/Pgum6OT_VH8
Rock,Foo Fighters-The Pretender,6000,2007,https://youtu.be/SBjQ9tuuTJQ
Rock,Foo Fighters-The Pretender,6000,2007,https://youtu.be/SBjQ9tuuTJQ
Rock,Theory of a Deadman-Bad Girlfriend,6000,2008,https://youtu.be/9YrWsmlJSiw
Rock,Bullet for My Valentine-Waking the Demon,6000,2008,https://youtu.be/q2I0ulTZWXA
Rock,Skillet-Monster,6000,2009,https://youtu.be/1mjlM_RnsVE
Rock,Skillet-Hero,6000,2009,https://youtu.be/uGcsIdGOuZY
Rock,Avenged Sevenfold-Nightmare,6000,2010,https://youtu.be/94bGzWyHbu0
Pop,VIERRA-Rasa Ini,7000,2010,https://youtu.be/RpC8NVgIfnc
Pop,VIERRA-Jadi Yang Kuinginkan,8000,2010,https://youtu.be/4ofhlicIqD8
Pop,VIERRA-Perih,6000,2010,https://youtu.be/PqGmQiPQ0Tw
Pop,VIERRA-Bersamamu,9000,2010,https://youtu.be/9VFip4CQT8I
