genre,name,price,year,link
Kpop,EXO-No Matter,5000,2021,https://www.youtube.com/watch?v=SsWnx3OeNZs
Kpop,EXO-Paradise,5000,2021,https://www.youtube.com/watch?v=YFrjy7uAS48
Pop,Tiara Andini-Gemintang Hatiku,6000,2021,https://youtu.be/qQtPAggFMt8
Pop,Tiara Andini-Maafkan Aku,6000,2021,https://youtu.be/bxEmsKYADl8
Pop,Lyodra Ginting-Mengapa Kita,7000,2021,https://youtu.be/Mc9WSGhPshE
Pop,Lyodra Ginting-Tentang Kamu,6000,2021,https://youtu.be/w3xBNrKJGQo
Pop,Lyodra Ginting-Sabda Rindu,5000,2021,https://youtu.be/o621gGw3dSU
Pop,Mahalini-Melawan Restu,8000,2021,https://youtu.be/Svz5F8J1Ap0
Pop,Andmesh Kamaleng-Senyumlah,8000,2021,https://youtu.be/Cs8wtborzRU
Kpop,BTS-Run,8000,2022,https://www.youtube.com/watch?v=ssD6mzewGVo
Kpop,BTS-Born singer,8000,2022,https://www.youtube.com/watch?v=TbjUXK2M5n8
Kpop,BLACKPINK-Tally,9000,2022,https://www.youtube.com/watch?v=VQo4hyWfBQ4
Kpop,BLACKPINK-Shut Down,9000,2022,https://www.youtube.com/watch?v=NpVJidAKOqc
Kpop,BLACKPINK-Ready For Love,9000,2022,https://www.youtube.com/watch?v=-Wduzor_Y1Q
Kpop,BLACKPINK-The Happiest Girl,9000,2022,https://www.youtube.com/watch?v=kVXazE8wR1Q
Kpop,BLACKPINK-ice cream,9000,2020,https://www.youtube.com/watch?v=vRXZj0DzXIA
Kpop,BLACKPINK-Hard To Love,9000,2022,https://www.youtube.com/watch?v=7Hr3p1BHC_E
Kpop,BLACKPINK-Typa girl,9000,2022,https://www.youtube.com/watch?v=z9tifvQSu-g
Kpop,BLACKPINK-Yeah Yeah Yeah,9000,2022,https://www.youtube.com/watch?v=wQTjv-Xo1gY
Pop,Tiara Andini-Janji Setia,7000,2022,https://youtu.be/PVIvHCX35hU
Pop,Tiara Andini-Merasa Indah,7000,2022,https://youtu.be/UHTVQVuVZTY
Pop,Tiara Andini-Menjadi Dia,7000,2022,https://youtu.be/8qoL-fhPfO8
Pop,Lyodra Ginting-Pesan Terakhir,8000,2022,https://youtu.be/oaFj0lRi3gw
Pop,Lyodra Ginting-Kalau Bosan,5000,2022,https://youtu.be/rMePfW-C7bc
Pop,Mahalini-Sisa Rasa,8000,2022,https://youtu.be/Wh66ThpxvI4
Pop,Mahalini-Kisah Sempurna,8000,2022,https://youtu.be/8dgEh5crj0I
Pop,Tulus-Hati Hati Di Jalan,9000,2022,https://youtu.be/9II3OGZETo4
Pop,Idgitaf-Takut,9000,2022,https://youtu.be/VJ1wfhlyWBw
Pop,Tiara Andini-Tega,6000,2023,https://youtu.be/bLcRdYuS5xw
Pop,Tiara Andini-Usai,9000,2023,https://youtu.be/83ntBBDC8Xs
Pop,Lyodra Ginting-Ego,7000,2023,https://youtu.be/vjYJrDDCOf0
Pop,Mahalini-Sial,2023,9000,https://youtu.be/QSWYyoF79oE
Pop,Mahalini-Bohongi Hati,7000,2023,https://youtu.be/weG-sqHHCB8
Pop,Tulus-Nala,8000,2023,https://youtu.be/7wGB30ijgqQ
Pop,Raim Laode-Komang,8000,2023,https://youtu.be/fKRtnMYMW08
Pop,Aruma-Muak,9000,2023,https://youtu.be/6r5Bj_7VPwE
Pop,Anggi Marito-Tak Segampang Itu,9000,2023,https://youtu.be/6NsiA6GFAbU
