genre, artis, judul, tahun, link, harga
Kpop, BTS, Dynamite, 2020, https://www.youtube.com/watch?v=gdZLi9oWNZg, 8000
Kpop, BLACKPINK, How You Like That, 2020, https://www.youtube.com/watch?v=ioNng23DkIM, 9000
Kpop, Twice, Fancy, 2019, https://www.youtube.com/watch?v=kOHB85vDuow, 5000
Kpop, BLACKPINK, Kill This Love, 2019, https://www.youtube.com/watch?v=2S24-y0Ij3Y,9000
Kpop, ITZY, Not Shy, 2020, https://www.youtube.com/watch?v=wTowEKjDGkU, 5000
Kpop, BTS, Blood Sweet Tears, 2016, https://www.youtube.com/watch?v=hmE9f-TEutc, 8000
Kpop, Red Velvet, Red Flavor, 2017, https://www.youtube.com/watch?v=WyiIGEHQP8o, 6000
Kpop, BTS, Permission To Dance, 2018, https://www.youtube.com/watch?v=CuklIb9d3fI, 8000
Kpop, BTS, Boy With Luv, 2019, https://www.youtube.com/watch?v=XsX3ATc3FbA, 8000
Kpop, BLACKPINK, DDU-DU DDU-DU, 2018, https://www.youtube.com/watch?v=IHNzOHi8sJs, 9000
Kpop, BTS, Spring Day, 2017, https://www.youtube.com/watch?v=xEeFrLSkMm8, 8000
Kpop, Girls Generation, Gee, 2009, https://www.youtube.com/watch?v=U7mPqycQ0tQ, 5000
Kpop, BTS, MIC Drop , 2017, https://www.youtube.com/watch?v=kTlv5_Bs8aw, 8000
Kpop, BTS, DNA, 2017, https://www.youtube.com/watch?v=MBdVXkSdhwU, 8000
Kpop, BTS, I Need U, 2015, https://www.youtube.com/watch?v=jjskoRh8GTE, 8000
Kpop, EXO, Love Shot, 2018, https://www.youtube.com/watch?v=pSudEWBAYRE, 6000
Kpop, Red Velvet, Bad Boy, 2018, https://www.youtube.com/watch?v=J_CFBjAyPWE, 6000
Kpop, BLACKPINK, Lovesick Girls, 2020, https://www.youtube.com/watch?v=dyRsYk0LyA8, 9000
Kpop, Chanyeol & punch, Spring is Gone by Chance, 2016, https://www.youtube.com/watch?v=GjyMuHmzxVE, 5000
Kpop, BTS, N.O, 2013, https://www.youtube.com/watch?v=mmgxPLLLyVo, 8000
Kpop, TWICE, Cheer Up, 2016, https://www.youtube.com/watch?v=c7rCyll5AeY, 5000
Kpop, BTS, Not Today, 2017, https://www.youtube.com/watch?v=9DwzBICPhdM, 8000
Kpop, EXO, Monster, 2016, https://www.youtube.com/watch?v=KSH-FVVtTf0, 6000
Kpop, BTS, Fire, 2016, https://www.youtube.com/watch?v=ALj5MKjy2BU, 8000
Kpop, IU ft. G-Dragon, palette, 2017, https://www.youtube.com/watch?v=d9IxdwEFk1c, 5000
Kpop, BTS, MIC Drop (Steve Aoki Remix), 2017, https://www.youtube.com/watch?v=kTlv5_Bs8aw, 8000
Kpop, Wanna One, Energetic, 2017, https://www.youtube.com/watch?v=EVaV7AwqBWg, 5000
Kpop, BTS, Fake Love, 2017, https://www.youtube.com/watch?v=7C2z4GqqS5E, 8000
Kpop, TWICE, Feel Special, 2019, https://www.youtube.com/watch?v=3ymwOvzhwHs, 5000
Kpop, BLACKPINK, As If Its Your Last, 2017, https://www.youtube.com/watch?v=Amq-qlqbjYA, 9000
Kpop, Red Velvet, Psycho, 2019, https://www.youtube.com/watch?v=uR8Mrt1IpXg, 6000
Kpop, EXO, Tempo, 2018, https://www.youtube.com/watch?v=iwd8N6K-sLk, 5000
Kpop, IU, Blueming, 2019, https://www.youtube.com/watch?v=D1PvIWdJ8xo, 5000
Kpop, Stray Kids, Gods Menu, 2020, https://www.youtube.com/watch?v=TQTlCHxyuu8, 5000
Kpop, MAMAMOO, Hip, 2019, https://www.youtube.com/watch?v=KhTeiaCezwM, 5000
Kpop, TWICE, Likey, 2017, https://www.youtube.com/watch?v=V2hlQkVJZhE, 5000
Kpop, Red Velvet, Russian Roulette, 2016, https://www.youtube.com/watch?v=QslJYDX3o8s, 6000
Kpop, EXO, Ko Ko Bop, 2017, https://www.youtube.com/watch?v=IdssuxDdqKk, 5000
Kpop, IU, Good Day, 2010, https://www.youtube.com/watch?v=jeqdYqsrsA0, 5000
Kpop, Stray Kids, My Pace, 2018, https://www.youtube.com/watch?v=pok5yDw77uM, 5000
Kpop, MAMAMOO, Starry Night, 2018, https://www.youtube.com/watch?v=LjUXm0Zy_dk, 5000
Kpop, NCT, Boss, 2018, https://www.youtube.com/watch?v=0AUFyFEt35g, 5000
Kpop, GOT7, Hard Carry, 2016, https://www.youtube.com/watch?v=O57jr1oZDIw, 5000
Kpop, BTS, Lie, 2017, https://www.youtube.com/watch?v=omzjKIgeJGs, 8000
Kpop, BTS, Mama, 2017, https://www.youtube.com/watch?v=nVHcXZK7pKs, 8000
Kpop, Red Velvet, Peek A boo, 2017, https://www.youtube.com/watch?v=6uJf2IT2Zh8, 6000
Kpop, Red Velvet, Feel My Rhythm, 2022, https://www.youtube.com/watch?v=R9At2ICm4LQ, 6000
Kpop, Red Velvet, Queendom, 2021, https://www.youtube.com/watch?v=c9RzZpV460k, 6000
Kpop, Red Velvet, Zim Zalabim, 2019, https://www.youtube.com/watch?v=YBnGBb1wg98, 6000
Kpop, Red Velvet, Happiness, 2014, https://www.youtube.com/watch?v=JFgv8bKfxEs, 6000
Kpop, Red Velvet, you bett, 2015, https://www.youtube.com/watch?v=3PgGuUP8_jI, 6000
Kpop, Red Velvet, Power Up, 2018, https://www.youtube.com/watch?v=aiHSVQy9xN8, 6000
Kpop, Red Velvet, Dumb Dumb, 2015, https://www.youtube.com/watch?v=XGdbaEDVWp0, 6000
Kpop, Red Velvet, Would U, 2017, https://www.youtube.com/watch?v=XGdbaEDVWp0, 6000
Kpop, BTS, Run, 2022, https://www.youtube.com/watch?v=ssD6mzewGVo, 8000
Kpop, BTS, Dope, 2012, https://www.youtube.com/watch?v=BVwAVbKYYeM, 8000
Kpop, BTS, Anpanman, 2018, https://www.youtube.com/watch?v=EFHeeRIDAsg, 8000
