Genre,Lagu,Tahun,Harga,Link
Rock,Green Day-Boulevard of Broken Dreams,2004,6000,https://youtu.be/Soa3gO7tL-c
Rock,The White Stripes-Seven Nation Army,2003,6000,https://youtu.be/0J2QdDbelmY
Rock,Foo Fighters,The Pretender,2007,6000,https://youtu.be/SBjQ9tuuTJQ
Rock,Linkin Park,In the End,2000,6000,https://youtu.be/eVTXPUF4Oz4
Rock,The Black Keys,Lonely Boy,2011,6000,https://youtu.be/a_426RiwST8
Rock,The Killer,Mr. Brightside,2003,6000,https://youtu.be/gGdGFtwCNBE
Rock,Arctic Monkeys,Do I Wanna Know,2013,6000,https://youtu.be/bpOSxM0rNPM
Rock,System of a Down,Chop Suey!,2001,6000,https://youtu.be/CSvFpBOe8eY
Rock,Greta Van Fleet,Highway Tune,2017,6000,https://youtu.be/aJg4OJxp-co
Rock,Imagine Dragon,Radioactive,2012,6000,https://youtu.be/ktvTqknDobU
Rock,Fall Out Boy,Sugar We are Goin Down,2005,6000,https://youtu.be/uhG-vLZrb-g
Rock,The Strokes,Last Nite,2001,6000,https://youtu.be/TOypSnKFHrE
Rock,Three Days Grace,I Hate Everthing About You,2003,6000,https://youtu.be/d8ekz_CSBVg
Rock,Queens of the Stone Age,No One Knows,2002,6000,https://youtu.be/s88r_q7oufE
Rock,Audioslave,Like a Stone,2002,6000,https://youtu.be/7QU1nvuxaMA
Rock,Muse,Starlight,2006,6000,https://youtu.be/Pgum6OT_VH8
Rock,Twenty One Pilots,Stressed Out,2015,6000,https://youtu.be/pXRviuL6vMY
Rock,Evanescence,Bring Me to Life,2003,6000,https://youtu.be/3YxaaGgTQYM
Rock,Paramore,Misery Business,2007,6000,https://youtu.be/aCyGvGEtOwc
Rock,Panic! at the Disco,I Write Sins Not Tragedies,2006,6000,https://youtu.be/vc6vs-l5dkc
Rock,Avenged Sevenfold,Bet Country,2005,6000,https://youtu.be/OR0f3qtadjg
Rock,Black Veil Brides,In the End,2012,6000,https://youtu.be/f0EQlIzPowM
Rock,Halestorm,I Miss the Misery,2012,6000,https://youtu.be/YpJAmlnBxoA
Rock,Foo Fighters,Walk,2011,6000,https://youtu.be/4PkcfQtibmU
Rock,Skillet,Monster,2009,6000,https://youtu.be/1mjlM_RnsVE
Rock,Bullet for My Valentine,Tears Don\'t Fall,2005,6000,https://youtu.be/9sTQ0QdkN3Q
Rock,Avenged Sevenfold,Nightmare,2010,6000,https://youtu.be/94bGzWyHbu0
Rock,The Pretty Reckless,Heaven Knows,2014,6000,https://youtu.be/rHBxJCq99jA 
Rock,Godsmack,I Stand Alone,2002,6000,https://youtu.be/OYjZK_6i37M
Rock,Halestorm,Love Bites (So Do I),2012,6000,https://youtu.be/FmkHqUwa4zg
Rock,Three Days Grace,Animal I Have Become,2006,6000,https://youtu.be/xqds0B_meys
Rock,Stone Sour,Through Glass,2006,6000,https://youtu.be/GIzDsGyxsQM
Rock,Green Day,American Idiot,2004,6000,https://youtu.be/Ee_uujKuJMI
Rock,Theory of a Deadman,Bad Girlfriend,2008,6000,https://youtu.be/9YrWsmlJSiw
Rock,Slash,Anastasia,2012,6000,https://youtu.be/kZNMvztBUwM
Rock,Breaking Benjamin,Breath,2006,6000,https://youtu.be/qQ3qJmgktS0
Rock,Bring Me the Horizon,Throne,2015,6000,https://youtu.be/Ow_qI_F2ZJI
Rock,Pop Evil,Footsteps,2014,6000,https://youtu.be/ZXvkTuMyZpM
Rock,Papa Roach,Getting Away with Murder,2004,6000,https://youtu.be/-rdmG0k8S8k
Rock,Five Finger Death Punch,Wrong Side of Heaven,2013,6000,https://youtu.be/o_l4Ab5FRwM
Rock,Skillet,Hero,2009,6000,https://youtu.be/uGcsIdGOuZY
Rock,Bullet for My Valentine,Waking the Demon,2008,6000,https://youtu.be/q2I0ulTZWXA
Rock,Theory of Deadman,Rx (Medic ate),2017,6000,https://youtu.be/iwxfmYR7ItM
Rock,Red Sun Shining,Emotionless,2015,6000,https://youtu.be/awyBrr0P69A
Rock,Bad Wolves,Zombie,2018,6000,https://youtu.be/9XaS93WMRQQ
Rock,Avenged Sevenfold,Hail to the King,2013,6000,https://youtu.be/DelhLppPSxY
Rock,Bring Me the Horizon,Can You Feel My Heart,2013,6000,https://youtu.be/QJJYpsA5tv8
Rock,Pop Evil,Trenches,2013,6000,https://youtu.be/DWdtN7pCZug
Rock,Bring Me the Horizon,Parasite Eve,2020,6000,https://youtu.be/racmy7Y9P4M
Rock,Five Finger Death Punch,A Little Bit Off,2020,6000,https://youtu.be/Ve3fcInpKj0
