genre,name,price,year,link
Pop,Tiara Andini-Gemintang Hatiku,6000,2021,https://youtu.be/qQtPAggFMt8
Pop,Tiara Andini-Tega,6000,2023,https://youtu.be/bLcRdYuS5xw
Pop,Tiara Andini-Janji Setia,7000,2022,https://youtu.be/PVIvHCX35hU
Pop,Tiara Andini-Merasa Indah,7000,2022,https://youtu.be/UHTVQVuVZTY
Pop,Tiara Andini-Maafkan Aku,6000,2021,https://youtu.be/bxEmsKYADl8
Pop,Tiara Andini-Usai,9000,2023,https://youtu.be/83ntBBDC8Xs
Pop,Tiara Andini-Menjadi Dia,7000,2022,https://youtu.be/8qoL-fhPfO8
Pop,Lyodra Ginting-Ego,7000,2023,https://youtu.be/vjYJrDDCOf0
Pop,Lyodra Ginting-Gemintang Hatiku,6000,2020,https://youtu.be/H_x8_LXwTW4
Pop,Lyodra Ginting-Pesan Terakhir,8000,2022,https://youtu.be/oaFj0lRi3gw
Pop,Lyodra Ginting-Mengapa Kita,7000,2021,https://youtu.be/Mc9WSGhPshE
Pop,Lyodra Ginting-Tentang Kamu,6000,2021,https://youtu.be/w3xBNrKJGQo
Pop,Lyodra Ginting-Kalau Bosan,5000,2022,https://youtu.be/rMePfW-C7bc
Pop,Lyodra Ginting-Sabda Rindu,5000,2021,https://youtu.be/o621gGw3dSU
Pop,Mahalini-Sial,2023,9000,https://youtu.be/QSWYyoF79oE
Pop,Mahalini-Sisa Rasa,8000,2022,https://youtu.be/Wh66ThpxvI4
Pop,Mahalini-Kisah Sempurna,8000,2022,https://youtu.be/8dgEh5crj0I
Pop,Mahalini-Melawan Restu,8000,2021,https://youtu.be/Svz5F8J1Ap0
Pop,Mahalini-Bohongi Hati,7000,2023,https://youtu.be/weG-sqHHCB8
Pop,JAZ-Kasmaran,6000,2017,https://youtu.be/4q24Qpn52CA
Pop,JAZ-Teman Bahagia,6000,2018,https://youtu.be/1XTLb0_6JDs
Pop,JAZ-Darimata,6000,2016,https://youtu.be/jieBCHsHg3A
Pop,VIERRA-Rasa Ini,7000,2010,https://youtu.be/RpC8NVgIfnc
Pop,VIERRA-Seandainya,9000,2011,https://youtu.be/MofaZRiwiOw
Pop,VIERRA-Kesepian,6000,2012,https://youtu.be/ZNVQaiyv6zU
Pop,VIERRA-Jadi Yang Kuinginkan,8000,2010,https://youtu.be/4ofhlicIqD8
Pop,VIERRA-Terlalu Lama,6000,2011,https://youtu.be/NgQVLbD-lQ0
Pop,VIERRA-Perih,6000,2010,https://youtu.be/PqGmQiPQ0Tw
Pop,VIERRA-Bersamamu,9000,2010,https://youtu.be/9VFip4CQT8I
Pop,Sheila On 7-Hari Bersamanya,7000,2011,https://youtu.be/32M1DDVwqeY
Pop,Sheila On 7-Dan,8000,2013,https://youtu.be/dGcGbF4ex5o
Pop,Sheila On 7-Seberapa Pantas,8000,2013,https://youtu.be/OdDwIwoiZwU
Pop,Sheila On 7-Film Favorit,9000,2018,https://youtu.be/cHKZ7eWiZjM
Pop,Sheila On 7-Melompat Lebih Tinggi,9000,2013,https://youtu.be/ab9LL48USIU
Pop,Sheila On 7-Pemuja Rahasia,6000,2013,https://youtu.be/HvSW5Kap81o
Pop,Sheila On 7-Sebuah Kisah Klasik,9000,2013,https://youtu.be/WKsoUFblnfc
Pop,Tulus-Pamit,7000,2016,https://youtu.be/G2-ZC9NpDBg
Pop,Tulus-Gajah,9000,2015,https://youtu.be/I-el8UadDc4
Pop,Tulus-Manusia Kuat,7000,2017,https://youtu.be/f-fEeF12FH4
Pop,Tulus-Sepatu,8000,2014,https://youtu.be/DYbSp-B-8AM
Pop,Tulus-Nala,8000,2023,https://youtu.be/7wGB30ijgqQ
Pop,Tulus-Sewindu,8000,2012,https://youtu.be/wpst_4m_c-E
Pop,Tulus-Hati Hati Di Jalan,9000,2022,https://youtu.be/9II3OGZETo4
Pop,Andmesh Kamaleng-Kumau Dia,7000,2020,https://youtu.be/ihSQUBV_X1k
Pop,Andmesh Kamaleng-Cinta Luar Biasa,9000,2019,https://youtu.be/FcOctsNXyjk
Pop,Andmesh Kamaleng-Senyumlah,8000,2021,https://youtu.be/Cs8wtborzRU
Pop,Raim Laode-Komang,8000,2023,https://youtu.be/fKRtnMYMW08
Pop,Aruma-Muak,9000,2023,https://youtu.be/6r5Bj_7VPwE
Pop,Anggi Marito-Tak Segampang Itu,9000,2023,https://youtu.be/6NsiA6GFAbU
Pop,Idgitaf-Takut,9000,2022,https://youtu.be/VJ1wfhlyWBw
